commander_uniform-10001010,防毒面具
commander_uniform-20001010,即使在末日也不能放棄自己，順便在裡面敷個面膜吧。
commander_uniform-10001020,頭戴式礦燈
commander_uniform-20001020,決定成為指引他人的明燈了嗎？3//c2//c1——好，敵人看到你了！
commander_uniform-10001030,髒汙的大衣
commander_uniform-20001030,對衣服來說髒汙也未必不是一種榮耀，和人類的傷疤同理。
commander_uniform-10001040,沾上灰塵的徽章
commander_uniform-20001040,我們遲早會擦掉這些灰塵，就像我們總會用血去洗刷恥辱。
commander_uniform-10001050,破損的長褲
commander_uniform-20001050,直到看見曙光之前，我們都要繼續在血和泥土裡跋涉……往好裡想，我們可以到達終點再換掉這條褲子。
commander_uniform-10001111,男性頭部
commander_uniform-20001111,職場短髮，符合禮節而不減時尚。
commander_uniform-10001112,女性頭部
commander_uniform-20001112,規矩的長髮，溫婉但容易掛到奇怪的東西。
commander_uniform-10001120,格里芬定制貝雷帽
commander_uniform-20001120,能讓看見你的人迅速認出你的身份，這是它在裝飾品之外起到的唯一作用。
commander_uniform-10001131,制服大衣（男）
commander_uniform-20001131,具備優良的吸濕性能，使你不會在敵方面前汗流浹背。
commander_uniform-10001132,制服大衣（女）
commander_uniform-20001132,具備優良的保暖性能，使你不會在敵方面前脊背發涼。
commander_uniform-10001140,新人任職徽章
commander_uniform-20001140,這是你得到的第一份榮譽，珍惜它吧。
commander_uniform-10001151,黑色長褲
commander_uniform-20001151,看起來普通的長褲，但非常耐磨。
commander_uniform-10001152,黑色短裙
commander_uniform-20001152,看起來普通的職場短裙，但其實是方便行動的裙褲。
commander_uniform-10001211,夏日休閒男性頭部
commander_uniform-20001211,為了度假拍照特別修剪的髮型，帥氣而不厚重。
commander_uniform-10001212,夏日休閒女性頭部
commander_uniform-20001212,為了度假拍照特別修剪的髮型，美麗而不拖遝。
commander_uniform-10001220,輕便海灘眼鏡
commander_uniform-20001220,即使是人造的陽光，也應當給它以尊重。
commander_uniform-10001231,健身成果（男）
commander_uniform-20001231,承受漫長的折磨，正是為了這短暫的展示時間。來吧，不要羞澀地露出你的肌肉！
commander_uniform-10001232,雙綁帶比基尼
commander_uniform-20001232,肆意欣賞吧！這健美的身材，正是你一次次跨越死亡的根本。
commander_uniform-10001240,夏日情懷配件
