theater_area-10000411,普通關卡
theater_area-20000411,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000412,普通關卡
theater_area-20000412,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000413,普通關卡
theater_area-20000413,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000414,要塞關卡
theater_area-20000414,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000415,普通關卡
theater_area-20000415,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000416,普通關卡
theater_area-20000416,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000417,普通關卡
theater_area-20000417,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000418,要塞關卡
theater_area-20000418,被槍林彈雨洗禮的山頭，是我們前進的第一道障礙。為了下一階段的作戰，我們要拿下這片區域，作為前進的立足點。
theater_area-10000421,普通關卡
theater_area-20000421,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲回蕩在戰場上空。
theater_area-10000422,普通關卡
theater_area-20000422,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲回蕩在戰場上空。
theater_area-10000423,普通關卡
theater_area-20000423,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲回蕩在戰場上空。
theater_area-10000424,要塞關卡
theater_area-20000424,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲回蕩在戰場上空。
theater_area-10000425,普通關卡
theater_area-20000425,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲回蕩在戰場上空。
theater_area-10000426,普通關卡
theater_area-20000426,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲回蕩在戰場上空。
theater_area-10000427,普通關卡
theater_area-20000427,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲回蕩在戰場上空。
theater_area-10000428,要塞關卡
theater_area-20000428,為了打開局面，我們決定延伸戰線包圍目標。但此地密集的敵軍炮火，卻宛如連綿不絕的雷聲回蕩在戰場上空。
theater_area-10000431,普通關卡
theater_area-20000431,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000432,普通關卡
theater_area-20000432,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000433,要塞關卡
theater_area-20000433,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000434,普通關卡
theater_area-20000434,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000435,普通關卡
theater_area-20000435,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000436,要塞關卡
theater_area-20000436,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000437,普通關卡
theater_area-20000437,作戰終於來到了收尾階段，但這最後的一步卻也是最艱難的一步。贏得勝利或是跌落地獄，一切都取決於我們接下來的行動。
theater_area-10000438,要塞關卡
